Nama,Ratings,Foto,Makanan,Location
Warung Nasi Ayam Bu Weti,4.4,https://lh5.googleusercontent.com/p/AF1QipOHKbWmrj7mK7CbeD41KJTyfqOcrYabsfn-aG5r=w163-h92-k-no,Halal,"Jl. Segara Ayu, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227"
Ayam Bakar Wong Solo Denpasar,4.3,https://lh5.googleusercontent.com/p/AF1QipM-orAPYECZllJGxN7CjVL9iWhPq7y_-L2ccMML=w163-h92-k-no,Halal,"Jl. Merdeka No.18, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80239"
Warung Surya,4.4,https://lh5.googleusercontent.com/p/AF1QipP9EfbAYSC-SZthPjGk1VXNXnXE22bAZ9fWfyZP=w163-h92-k-no,Halal,"Jl. Mahendradatta Selatan No.32, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
Warung banyuwangi mbak lisa (aneka lalapan&chinesfood halal),5,https://lh5.googleusercontent.com/p/AF1QipNe8RQtH4PC5VaEshgOmsKYKvJNzx46GL0wLIE=w122-h92-k-no,Halal,"Jl. Bunut Sari No.5, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Muslim,4.6,https://lh5.googleusercontent.com/p/AF1QipPFIhmilKFwk_ZL2lxQuTSQ5gW7Xb1e3ojOoddf=w194-h92-k-no,Halal,"Jl. Batu Pageh, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Wardani,4.4,https://lh5.googleusercontent.com/p/AF1QipP5w35pr4LEstzBq0VuLmkJbXl8ZSPi0LUJ9ro=w122-h92-k-no,Halal,"Jl. Yudistira No.2, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232"
Warung Muslim Bu Gatot,4.6,https://lh5.googleusercontent.com/p/AF1QipNHfw6W-304-fKi14LBh2MwIu-lAX8jfxyrD9Ie=w163-h92-k-no,Halal,"Jl. Serma Made Pil No.26, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80234"
JEBAK ( Jejak Bali Kuliner),4.3,https://lh5.googleusercontent.com/p/AF1QipOxF3__QvO_Qks_tYATGIyUnDQL_DE3qGJbChFf=w80-h106-k-no,Halal,"Jl. Teuku Umar No.212, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Bakso Andika Muslim,5,https://lh5.googleusercontent.com/p/AF1QipNwhPvnUzPSQ0UzzcLayZeUW0R0wEJmkPwjMtM0=w122-h92-k-no,Halal,"No., Jl. Pulau Seram No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Warung Nasi Tekor Bali,4.7,https://lh5.googleusercontent.com/p/AF1QipOP2feYgJUZ_GlQi2KvSohvStBJ7Z0XzG5vZzVy=w122-h92-k-no,Halal,"Kawasan Desa Budaya Kertalangu, Jl. By Pass Ngurah Rai Tohpati No.28, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237"
Warung Muslim Sederhana,4.5,https://lh5.googleusercontent.com/p/AF1QipPF60ruC5E-8vLGzcGnnxYUrCE8jl8fjGbNoQTR=w163-h92-k-no,Halal,"Jl. Prof. Dr. Ida Bagus Mantra No.231, Saba, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581"
Sobat Muslim,5,https://lh5.googleusercontent.com/p/AF1QipPZPko0Cj2Ld6Xkfv9_RKdVYEaJ3NutUWzBFOK3=w92-h92-k-no,Halal,"Jl. Diponegoro No.150, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80232"
Nasi Campur Bu Fauziah,4.2,https://lh5.googleusercontent.com/p/AF1QipP6ITrNUiRPZcE7J6qPmyn_BeKXMe6PYUUJ9mXS=w204-h92-k-no,Halal,"Jl. Nusa Kambangan, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
Warung Lalapan Mbak Anik Jawa Muslim,4.7,https://lh5.googleusercontent.com/p/AF1QipMxB8TN_jSoQ33gGcwmY3kKlQwLX_qle7BUts1m=w80-h106-k-no,Halal,"Jl. Dukuh Sari, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223"
Warung Muslim B.Nadia,4.8,https://lh5.googleusercontent.com/p/AF1QipNcapeqi0aIgMYp6f7UIvatVLDiq6ghit1Bq5RQ=w80-h106-k-no,Halal,"Jl. Gn. Talang VI, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
Warung Sulawesi,4.4,https://lh5.googleusercontent.com/p/AF1QipPHO9he4ir4lcDKKOUKdpJuE6RfItsUwOqd-IC4=w122-h92-k-no,Halal,"Jl. Petitenget No.57 B, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361"
Warung Babi Guling Dayu Kencani,4.5,https://lh5.googleusercontent.com/p/AF1QipMo1-HKwyQ-Gp1HnanWS-CGgLnrh2s64fWgC4Ft=w122-h92-k-no,Pork,"Jl. Raya Kuta No.116, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Babi Guling Pak Malen,4.4,https://lh5.googleusercontent.com/p/AF1QipOeDYUr-Nmn8oyrUPfidyzuG9XvT1-lb3DQT_tc=w122-h92-k-no,Pork,"Jl. Sunset Road No.554, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361"
Babi Guling Sari Kembar 99,4.4,https://lh5.googleusercontent.com/p/AF1QipNgaTRhHqbw62ZFonv3c6UbvTVlQKpwyhs3w4Bx=w122-h92-k-no,Pork,"Jalan Teuku Umar Barat No. 99 Denpasar Barat Kerobokan Kelod Denpasar, Kerobokan Kelod, Kabupaten Badung, Bali 80119"
Warung Babi Guling Sari Dewi Bp. Dobil,4.5,https://lh5.googleusercontent.com/p/AF1QipOskFVp2i-ksQiSz2zFANywy1efUCt9LGaeG6so=w122-h92-k-no,Pork,"Jl. Srikandi No.9, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361"
Rumah Makan Babi Guling Karya Rebo,4.3,https://lh5.googleusercontent.com/p/AF1QipOMxJSCKhDhzceVwAfXSBMu5q7vKmmYZDld-2kY=w122-h92-k-no,Pork,"Jl. Toyaning No.1, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361"
Sate Babi Bawah Pohon(SBBP CAMPUHAN)ex Gelora Tri sakti Legian,4.5,https://lh5.googleusercontent.com/p/AF1QipMBvbgIjIQy5XK1xaKh5R8TGinRCHu-u0BOfSLN=w122-h92-k-no,Pork,"Campuhan I, Jl. Dewi Sri IV Jl. Campuhan I - Dewi Sri No.8, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Babi Guling Candra,4.3,https://lh5.googleusercontent.com/p/AF1QipMGCNEpjKA-nz7ngadGKTQ6mommXJM1P5eaS9SH=w122-h92-k-no,Pork,"Jl. Pulau Yapen No.14, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113"
The Babi Ngempet (sate babi khas bali),5,https://lh5.googleusercontent.com/p/AF1QipMgxxQt78uy-Y-8VvGh7qPMXNEO37k8kRIHNq1R=w122-h92-k-no,Pork,"Jl. Pulau Belitung No.16, Pedungan, Denpasar Selatan, Kota Denpasar, Bali 80222"
Babi Guling Selingsing Bu Suci,4.6,https://lh5.googleusercontent.com/p/AF1QipP7_NIz3cKDFeYnzYpEh0Pdnc1y_59dhO01J8oP=w199-h92-k-no,Pork,"Jl. Raya Munggu-Kapal, Cepaka, Kec. Kediri, Kabupaten Badung, Bali 80351"
Iga Babi Bakar Permana Teuku Umar,4.6,https://lh5.googleusercontent.com/p/AF1QipOj7nRZUaAYrKkbawKY4sKUwwMxzpyqnBU-6wDi=w80-h100-k-no,Pork,"Jl. Teuku Umar Barat, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Warung Babi Guling Men Gede,4.6,https://lh5.googleusercontent.com/p/AF1QipPTAKWL1LHF_xt_s0yOlEL_KbhP1tUIAFSDd61U=w122-h92-k-no,Pork,"Jl. Poppies I, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361"
Babi Guling Jero Kawan,4.6,https://lh5.googleusercontent.com/p/AF1QipNDi0OBE_-Ty2HVxTyxbns2bE23_hYl87FXvkwg=w122-h92-k-no,Pork,"Jl. Raya Munggu No.6, Munggu, Kec. Mengwi, Kabupaten Badung, Bali 80351"
Depot Gimbo Babi Asap Imam Bonjol,4.5,https://lh5.googleusercontent.com/p/AF1QipMCir39XS0HZaMOJBErUtw6YSRFUU1I6zjeIbQW=w122-h92-k-no,Pork,"Jl. Imam Bonjol No.350, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119"
Babi Guling Handayani,4.3,https://lh5.googleusercontent.com/p/AF1QipN6DG6Ib7MCPmLopzs4xBpRJTEj-YKtnxH0ITQH=w80-h106-k-no,Pork,"Jl. Bypass Ngurah Rai No.12, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237"
Babi Guling Gianyar,4.3,https://lh5.googleusercontent.com/p/AF1QipNXLa3WD_vKmF4v88rNxEdoNx80s7xXoD2VOpBq=w189-h92-k-no,Pork,"Jl. Patih Jelantik, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
BABI GULING BALI JIK KADOT,4.8,https://lh5.googleusercontent.com/p/AF1QipMn4oQ3ROYzO3A8OEMH2xVKQrxQtbxQcx0k389S=w122-h92-k-no,Pork,"Jl. Oleg No.37, Dauh Yeh Cani, Kec. Abiansemal, Kabupaten Badung, Bali 80352"
Babi Guling Sari Kembar,4.4,https://lh5.googleusercontent.com/p/AF1QipNbCdDHAPn5bMEDs0azS9d7hbtODeWPEQMZ7_Wy=w122-h92-k-no,Pork,"Jalan Teuku Umar Barat No. 99 Denpasar Barat Kerobokan Kelod Denpasar, Kerobokan Kelod, Kabupaten Badung, Bali 80119"
Souphoria,4.4,https://lh5.googleusercontent.com/p/AF1QipP6Nuc5S55O5sLF35JeQJD_e2qka1MFfxkY01Q=w122-h92-k-no,Pork,"Jalan Bumbak Dauh No.116 Kerobokan Kuta Utara, Kerobokan, Badung, Kabupaten Badung, Bali 80361"
Babi Guling Bali Tulen,4.4,https://lh5.googleusercontent.com/p/AF1QipOgD17wrcsWdCcHZjPee3TVmEW_Y3l-lIX1HKVV=w163-h92-k-no,Pork,"Jl. Sutomo No.27, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231"
Babi Guling Nadi Jaya,4.3,https://lh5.googleusercontent.com/p/AF1QipMmQQ6VpXnsZnrPe4FxXW52jXYjioEM-RUkvDxj=w122-h92-k-no,Pork,"Jl. Kubu Anyar, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361"
Babi Guling Bali Saniasih,4.3,https://lh5.googleusercontent.com/p/AF1QipMHoIzJPMVcSqx8ZoAdy9RROUxoLJlnQbgqNmR4=w122-h92-k-no,Pork,"Jln, Sibang Gede, Kec. Abiansemal, Kabupaten Badung, Bali 80352"
Rumah Makan Babi Guling Rebo Manis,4.1,https://lh5.googleusercontent.com/p/AF1QipPOD-DTELLzCj62BmYcFaQVDYAcHPSw7WF4kVRM=w122-h92-k-no,Pork,"Jl. Raya Sesetan No.14, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80223"
sate babi bu jero,4.8,https://lh5.googleusercontent.com/p/AF1QipPFMdEXJClVKvQBhXGyez9hYQpbICu9J0i_dCiV=w92-h92-k-no,Pork,"Jl. Surapati No.9, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232"
Babi Guling Pak Agus,4.4,https://lh5.googleusercontent.com/p/AF1QipMtcpO2DTj0txhNbG5wqFhxrsz_oEB2diZUu9kP=w163-h92-k-no,Pork,"Tegal Buah, Jl. Tangkuban Perahu No.98, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117"
Nasi babi guling ibu Sekar,4.1,https://lh5.googleusercontent.com/p/AF1QipNCZ3OsoRKmseYdBZTObhrDdowic_QUG0-e98vW=w163-h92-k-no,Pork,"Jalan Raya, Kuta, Badung Regency, Bali 80361"
Babi Tjoy Seminyak Bali,4.9,https://lh5.googleusercontent.com/p/AF1QipNSZVcyfMh3MskK_DAbDxoRsBzSi3CGJAlOEEzw=w80-h106-k-no,Pork,"Jl. Dewi Saraswati II No.1, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361"
Sei Babi Bali,5,https://lh5.googleusercontent.com/p/AF1QipOUJeYPwCesKExhpB3n0kkRB1VyOK6YJixbstLA=w80-h106-k-no,Pork,"Jl. Nuansa Indah Sel. I No.15, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80118"
Warung Babi Guling Sanur,4.1,https://lh5.googleusercontent.com/p/AF1QipPuZFLUbJzPOucMtWTMsEStwWjLmLzH0T-ni7SM=w122-h92-k-no,Pork,"Jl. Bypass Ngurah Rai No.256, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227"
Sate Babi Denpasar,5,https://lh5.googleusercontent.com/p/AF1QipN3uvpLWYq_Hal1LzzeA_mJgcgrbfOeJjZSyXUb=w80-h168-k-no,Pork,"Jl. Surapati No.23, Dangin Puri, Kec. Denpasar Tim., Kota Denpasar, Bali 80232"
Bali sei (babi asap khas Ntt) Indonesia,4.5,https://lh5.googleusercontent.com/p/AF1QipNQWvBjMm6HQVH23Z5W8LjSEXnM21HRmX-zEjRD=w163-h92-k-no,Pork,"Jl. Imam Bonjol No.338F, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80361"
WAHAHA Pork Ribs Seminyak,4.5,https://lh5.googleusercontent.com/p/AF1QipMca8GTNlOfp_mx1eF_nrh2fqQAMC_MCFV7DJ3j=w80-h106-k-no,Pork,"Jl. Sunset Road No.1689, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Nasi Babi Guling Men Agus,4.3,https://lh5.googleusercontent.com/p/AF1QipOjgwkXJM3isX-1ShmgsvVgX1JlT3HHW2RS0T5E=w80-h106-k-no,Pork,"Jl. Raya Canggu No.163, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351"
Babi Guling Sembung 1,4.3,https://lh5.googleusercontent.com/p/AF1QipNdryENCT3Iw5X9ZfGkisIjtPHznPTATs32J2k=w163-h92-k-no,Pork,"Jl. Raya Denpasar - Gilimanuk, Sembung Gede, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161"
Warung Nasi Babi Guling Men Repot,4.6,https://lh5.googleusercontent.com/p/AF1QipNlnYNo0_FSOxXQ_DjKUK3dXo9Hi2Be1x2pQTaH=w80-h142-k-no,Pork,"Jl. Noja I No.24, Kesiman Petilan, Kec. Denpasar Tim., Kota Denpasar, Bali 80237"
Warung Babi Guling Bu Ning,4.5,https://lh5.googleusercontent.com/p/AF1QipMT8ZIJT-miQ_pb2eZi_Jah_yove2g9RPcFTh5X=w163-h92-k-no,Pork,"Jl. Raya Kuta No.22, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361"
Warung Babi Guling Amerta Sari,4.4,https://lh5.googleusercontent.com/p/AF1QipOQMRvr3Vyp8owOjj5ygII4tTi4efNVOpxY4Gev=w163-h92-k-no,Pork,"Jl. Bypass Ngurah Rai No.353, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali"
"Rumah Makan Babi guling Khas Bali ""Bagus""",4.1,https://lh5.googleusercontent.com/p/AF1QipPmxWjUgA2hIB5cOcdeRTTQ9C8apbuC8qSDuHvQ=w80-h106-k-no,Pork,"Utara Plasa Telkom, Jl. Raya Uluwatu No.75, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361"
Bakmie Babi Hauce cabang Tukad Badung,4.2,https://lh5.googleusercontent.com/p/AF1QipN6zj1IfE8EYEg7YOaazeoF5Ss5_5s17Rtw1mNP=w189-h92-k-no,Pork,"Senggol Nusantara, Jl. Tukad Badung No.6B, Renon, Denpasar Selatan, Kota Denpasar, Bali 80234"
Babi Guling Bali Ayu,4.1,https://lh5.googleusercontent.com/p/AF1QipMp7cZkkonJkrxRLpeSOVEfc-ywmG12Kbz8D2Js=w80-h106-k-no,Pork,"Jl. Raya Uluwatu Pecatu, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80362"
Warung Sei Babi Om Max,4.2,https://lh5.googleusercontent.com/p/AF1QipPTp-hhOaRO43dDSqiFWLmJUHWDcA2qBWec-YWQ=w130-h92-k-no,Pork,"Jl. Pulau Komodo No.30, Sesetan, Denpasar Selatan, Kota Denpasar, Bali 80223"
Babi Guling Golden,4.5,https://lh5.googleusercontent.com/p/AF1QipN6bO4QYAPkSmmlTzJq-QYapqDUHfLE6PB_Z2h0=w80-h127-k-no,Pork,"Jl. Badak Agung No.Utara, Renon, Denpasar Selatan, Kota Denpasar, Bali 80234"
IBAB BALI,4.4,https://lh5.googleusercontent.com/p/AF1QipMhltMOaLPa-qwGXnmE4uJf1qaewSQGFe4D4oSy=w122-h92-k-no,Pork,"Jl. Dewi Sri No.88xx, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361"
Sate babi bu wayan,4.9,https://lh5.googleusercontent.com/p/AF1QipP3b10vBzsWLp5SMHwx26_PBCOQLzWjvKtXibM=w80-h106-k-no,Pork,"Jl. Raya Pemogan, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221"
Babi Guling Acharya,5,https://lh5.googleusercontent.com/p/AF1QipNGKJ7ANRHnEJdSgYGaZfe16QbGQvy4fX-Dh0Uc=w163-h92-k-no,Pork,"Gg. Soka No.48, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80361"
Sate Babi Pattimura,4.6,https://lh5.googleusercontent.com/p/AF1QipPqMgNNAtr8MjJcm1PHa7AwUVWCFNo-XbXw-Agi=w138-h92-k-no,Pork,"Jl. Patimura No.63, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80234"
Babi Guling Ne Bali,4.2,https://lh5.googleusercontent.com/p/AF1QipNvpnenmB2ddEs9eOExwG48YFEeIBmE4-P_hcPj=w138-h92-k-no,Pork,"Jl. Raya Uluwatu, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361"
Warung Babi Guling De Asih,4.1,https://lh5.googleusercontent.com/p/AF1QipOJh3gC9TskAPma2XhI6Ir5y7rC4fZab1nU4iz9=w80-h106-k-no,Pork,"Jl. Padang Bali No.88X, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361"
"Krupuk Babi ""BALI"" Cap Babi Lima",4.7,https://lh5.googleusercontent.com/p/AF1QipOLY8bL5mmnDzNxCXOZ0OlksEextppBJpB9jXnJ=w163-h92-k-no,Pork,"Jl. Pulau Menjangan No.52, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82111"
Warung Makan Babi Guling Dodo,4.3,https://lh5.googleusercontent.com/p/AF1QipOMWGG3_PRNyd3gdPT9FXUm9WsBxitKALHhwi13=w92-h92-k-no,Pork,"Jl. Abimanyu No.2a, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232"
Babi Guling Anyar Jimbaran,4.7,https://lh5.googleusercontent.com/p/AF1QipPzn0F5fyElYl69O71lNgZSdM5xz4lEFr035wNy=w80-h106-k-no,Pork,"Jl. Danau Batur Raya No.37, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361"
"Warung Siobak & Sate Babi ""GUNUNG AGUNG""",4.8,https://lh5.googleusercontent.com/p/AF1QipPPL2HdB4-k6YMEPNKHo0N0ewfzZCsqNOlQsz6O=w122-h92-k-no,Pork,"Jl. Gn. Agung, Pemecutan, Kec. Denpasar Utara, Kota Denpasar, Bali 80111"
Warung BU Asih Masakan Babi Bali,5,https://lh5.googleusercontent.com/p/AF1QipPspYeHuINjzDlDiaeaDGtdmO3RPpBY4MFgNnDr=w163-h92-k-no,Pork,"Jl. Setia Budi No.49, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111"
Nasi Jinggo Babi Kecap Jik Elle,4.1,https://lh5.googleusercontent.com/p/AF1QipMwU14eH4jwOO862YrtQnAUJpJhKsIo0DZT4xpY=w122-h92-k-no,Pork,"Jl. Tukad Irawadi No.13, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80225"
BABI GULING BERASPINGE,5,https://lh5.googleusercontent.com/p/AF1QipPDCQexdyyMncrvUtUEqYkSlp67nSUaEqtz9uhK=w163-h92-k-no,Pork,"Jl. Gunung Batukaru No.2, Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80112"
Urutan babi asap bumbu bali,5,https://lh5.googleusercontent.com/p/AF1QipMa3xnWEQw7B3AIxixEnKIxzC0CgseJoCXZJZJa=w80-h96-k-no,Pork,"Jl. Yudistira No.19-41, Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali 80582"
